name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
'Long As You Know You're Living Yours,Keith Jarrett,Belonging,0.021339957283872654,0.1586069018590145,-0.9015919815745008,5,-1.1540610084884249,1,-0.5981238834703579,-0.13209417551027375,0.20740737972281786,-0.4114953717085099,1.7110659593933757,0.45733061130943825,5z7deaTe21B7QVPhSDouL1,1.5148669121929432,4,jazz
"'Ode To Joy' From Symphony No. 9 In D Minor 'Choral', Op. 125",Ludwig van Beethoven,Hallelujah - 35 Great Sacred Choruses,-0.7028533079824462,-1.7098674867924748,-0.34748159301078874,2,-0.6892530008675726,1,-0.37314585018194824,1.656346938460797,1.0994732891063992,0.9217971605296766,-1.0235237853904402,1.406104265073162,3mhzXvn3dqhC3Z3k6l4kEz,-0.5141672619391604,4,orchestral
'Round Midnight,Thelonious Monk,Monk Alone: The Complete Columbia Solo Studio Recordings of Thelonious Monk- 1962-1968,-2.0607156803567936,-0.3209130739895977,-0.7314009336585037,8,0.06551479608509705,1,-0.37442413446199596,1.951907190010822,2.270940973881819,0.5104622303710872,-0.935187318915682,-1.413866707007929,1kAaGwsZioS6AoP78CLbWr,-0.17467914606207938,4,jazz
'Round Midnight,Thelonious Monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",0.29291243175874193,-0.18863170134170448,-1.1232361369999857,8,-0.20529133809792144,1,-0.5150354052672521,1.8403181154460169,1.6953059908456216,-0.8093555369136284,-1.1387452634009942,-0.07450754607603767,1wl5b2lw3YagQtZiYZbQWP,-0.5835465895309396,4,jazz
"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis,'Round About Midnight,0.24765035267959717,-0.45319444663749087,-1.6694306628699305,10,-0.42167074923435255,0,-0.44345148558457625,1.4874553661464969,-0.4882020524093452,-0.3263915930550087,-1.1233823996662538,-0.21231416071633533,5vb7At47uO0yPGfmYnAHuw,1.330732540962686,4,jazz
'Till I Collapse,Eminem,The Eminem Show,-2.0607156803567936,-0.13902618659874455,0.9784254081952365,1,1.0649183865224239,1,1.5084886100483879,-0.6695312859818501,-0.4894139155315267,-0.6852458597106058,-1.5458611523716186,1.831707063054197,6yr8GiTHWvFfi4o6Q5ebdT,0.6498597275555794,4,hiphop
(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,1.1981540133416406,-1.34058198815044,1.2792281905583947,9,0.06494587563513235,0,-0.07274904437071927,-0.8863760011496747,-0.4887137279498218,0.8650613080940092,-0.4512571112713549,0.7893683221085792,5QTxFnGygVM4jFQiBovmRo,0.7710868560847312,4,rock
(Every Time I Turn Around) Back In Love Again,L.T.D.,Disco Top 50,-2.015453601277649,1.1948109876008437,0.9586357514608181,10,0.42658964166245356,0,-0.34502359602089705,-0.8836315130995674,-0.48816165697193914,-0.8121923295354119,1.6150480610512477,-0.3301755391381701,5Ftk8E8A9FXYSsArdzM9yy,3.253712239789195,4,disco
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,1.2886781714999305,0.808990317377822,1.0259205843578405,2,0.1901083746272831,1,-0.5776713349895934,-0.7796124000795636,-0.38270263505054736,-0.33348357460946715,1.6457737885207289,0.6096175370612194,2PzU4IB8Dr6mxV3lHuaG34,-0.24011121308866779,4,rock
(I Get So) Emotional,James Vickery,(I Get So) Emotional,0.11186411544216242,-0.5524054761234107,-0.39893470052027635,3,-0.3154722652410117,1,-0.19929918809544983,1.0803060400316664,-0.48933851071503537,0.19132306042045752,-0.8583730002419792,-1.5260543096817552,4AHFGnD2G51kpRhZEgho8a,-0.6432889115986942,4,R&B
(I Left My Heart) In San Francisco,Tony Bennett,I Left My Heart In San Francisco,0.47396074807532196,-1.4508164653570177,-2.081055522945831,0,-1.648073599207445,1,-0.5853410406698801,1.9850823202868453,-0.4893988345682284,-0.04271233087667102,-1.44984325402949,0.3229004153658098,1bYItjcPRtxZs6Ir71O5RB,-0.8547577659020156,4,jazz
"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,Dirty Dancing (Original Motion Picture Soundtrack),0.836057380708481,0.665685497009271,0.258081903062411,6,-0.7264224702652414,0,-0.49074800394634427,-0.7732789661177774,-0.45921832607050506,-0.7774416199185655,-0.06334480196915643,-0.3579178659551237,6W7ztLBiRzBN46ZaPAcQ0F,0.5602462444539474,4,disco
(Shake Shake Shake) Shake Your Booty,KC & The Sunshine Band,"Dance Grooves 70´s & 80´s - Disco, Soul & Funk",-1.6986190477236345,0.4121461994341431,1.3504709548023002,10,0.18403988982766462,1,-0.5482707965484944,-0.38543153398172386,1.1095721484579115,-0.1774599804113815,1.6764995159902094,-0.22613311146455362,2ShlmCf4hlWpIi5GQiAdRy,-0.6807463992443497,4,disco
007 (Shanty Town),Desmond Dekker,007 Shanty Town,0.3381745108378872,1.4042564942933407,0.18288120747162143,9,0.831471361887063,1,-0.2414825693370266,-0.42765442706029894,0.39255313450054236,-0.4965991503620113,1.2424986154837894,-0.5954854701279013,7LOAChK8Lkj8ZdF1LuhNWP,-1.0692255899440555,4,reggae
03' Bonnie & Clyde,JAY-Z,The Blueprint 2: The Gift & The Curse,1.017105697025061,1.0074123763496619,0.29370328518436395,9,0.7101016658946755,0,3.004081217704293,-0.20146035699650414,-0.4894139155315267,-0.1774599804113815,-0.6740186354250928,-1.0146138982369741,5ljCWsDlSyJ41kwqym2ORw,-0.44462198345274884,4,hiphop
