name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre
'Long As You Know You're Living Yours,Keith Jarrett,Belonging,0.05707891016632351,0.06547717731016066,0.022680437311282685,5,0.017619984372023518,1,0.03072174956306283,0.04895984961158129,0.06875174525650013,0.03702522252789332,0.30925330595321515,0.08827221157324114,5z7deaTe21B7QVPhSDouL1,0.25415940635471584,4,jazz
"'Ode To Joy' From Symphony No. 9 In D Minor 'Choral', Op. 125",Ludwig van Beethoven,Hallelujah - 35 Great Sacred Choruses,0.026959909219303222,0.00984867314473344,0.03846399595592697,2,0.0273290769715334,1,0.03748940563280007,0.2853028264884328,0.16347785142830523,0.13686586892756988,0.01956379064121578,0.22214015063730447,3mhzXvn3dqhC3Z3k6l4kEz,0.03255845095287472,4,orchestral
'Round Midnight,Thelonious Monk,Monk Alone: The Complete Columbia Solo Studio Recordings of Thelonious Monk- 1962-1968,0.005546773948973866,0.03159563868174381,0.02095822634648127,8,0.04649975132557476,1,0.029949362360306864,0.3066905806354428,0.4219442273139662,0.07255859185778084,0.017094296156069354,0.010591644776271905,1kAaGwsZioS6AoP78CLbWr,0.03657090659738841,4,jazz
'Round Midnight,Thelonious Monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",0.07486233615915848,0.046252095726203764,0.0181651030793903,8,0.045487935601136065,1,0.033371527688273527,0.3517978049208787,0.30430925427351135,0.0248630543449257,0.01788555160266262,0.05184357081824058,1wl5b2lw3YagQtZiYZbQWP,0.031161765785618953,4,jazz
"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis,'Round About Midnight,0.09097126155803371,0.04513684387090546,0.013376007727221827,10,0.046582388833388215,0,0.0455787596712637,0.3143002260597603,0.04358404942292144,0.05123903807136736,0.023092569456669404,0.05743070761734134,5vb7At47uO0yPGfmYnAHuw,0.2687081477111273,4,jazz
'Till I Collapse,Eminem,The Eminem Show,0.0060418300911487645,0.041280756828719366,0.12619748860979962,1,0.13759863813223538,1,0.21441454163385631,0.024285788786051563,0.02907878080108313,0.023907130982955938,0.010110368579194071,0.29622808193632094,6yr8GiTHWvFfi4o6Q5ebdT,0.09085659361863488,4,hiphop
(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,0.1886364895201427,0.014895897295042504,0.20456709292097908,9,0.06074068210660699,0,0.0529272733082231,0.023459881984420967,0.03491631106933328,0.13519647921414268,0.03624896041160516,0.12534076346986264,5QTxFnGygVM4jFQiBovmRo,0.12307016869964076,4,rock
(Every Time I Turn Around) Back In Love Again,L.T.D.,Disco Top 50,0.003219721237470556,0.07980286231911653,0.06301571478594797,10,0.03701554747957559,0,0.01711105573577729,0.009985328560881192,0.014829029730801515,0.010724770385814677,0.1214856860950894,0.017367017227536165,5Ftk8E8A9FXYSsArdzM9yy,0.625443266441989,4,disco
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,0.18047728164183888,0.1117112092300373,0.13877408445619446,2,0.060161650202836314,1,0.027917546553698772,0.02281263011030459,0.033927439095017525,0.035639093246513896,0.25793317078220945,0.09151878684648161,2PzU4IB8Dr6mxV3lHuaG34,0.0391271078348672,4,rock
(I Get So) Emotional,James Vickery,(I Get So) Emotional,0.11353946160917833,0.05843300383140448,0.06812550323613537,3,0.07405544542801261,1,0.08317835455106493,0.2990444966245022,0.06223688495622521,0.1229293009199826,0.043030679592630044,0.022070282729070266,4AHFGnD2G51kpRhZEgho8a,0.05335658652179377,4,R&B
(I Left My Heart) In San Francisco,Tony Bennett,I Left My Heart In San Francisco,0.1180544381157919,0.017225117607764434,0.009171763567493973,0,0.014141468519412411,1,0.040929213283678094,0.5350003655982366,0.045050598779186074,0.07041968067183581,0.017241889447286624,0.101502712811942,1bYItjcPRtxZs6Ir71O5RB,0.03126275159737211,4,jazz
"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,Dirty Dancing (Original Motion Picture Soundtrack),0.19915800958499474,0.1679601323792046,0.11173422386139434,6,0.041746627796788706,0,0.05284130322828042,0.039835647643308825,0.05453391604662565,0.039670170284662416,0.0810200248911159,0.060347726867535756,6W7ztLBiRzBN46ZaPAcQ0F,0.15115221741608864,4,disco
(Shake Shake Shake) Shake Your Booty,KC & The Sunshine Band,"Dance Grooves 70´s & 80´s - Disco, Soul & Funk",0.009870549102826006,0.0814769968015795,0.2082304685019049,10,0.06485891827967212,1,0.03118395614990636,0.03669876117929185,0.163652729811238,0.04518271276493137,0.2884939309418245,0.04303619137909291,2ShlmCf4hlWpIi5GQiAdRy,0.02731478508773239,4,disco
007 (Shanty Town),Desmond Dekker,007 Shanty Town,0.08318845646709697,0.24157755911065645,0.07122296371100119,9,0.13623828454622425,1,0.046593055836363355,0.0386783362284306,0.08783738589562666,0.036101518660630987,0.205497259578166,0.03270240468116091,7LOAChK8Lkj8ZdF1LuhNWP,0.020362775284642677,4,reggae
